Documento,Pos.,Denominación,Fecha doc.,Ctd.conf.,Nº ped.cliente,Fe.entrega,Solic.,Ctd.ped., Prc.neto,   por,UM, Valor neto, Valor neto,Se,Ctd.ped.
7293858,20,JWlkr Red 750ml MIDAS C/IBC 12x01,04.05.2010,0,15675563/231225,08.05.2010,6024222,180,92.23,1,BTL,"49,138.54","16,601.76",32,180
7293858,30,JW Black Label 750ml 12x01,04.05.2010,0,15675563/231225,08.05.2010,6024222,24,173.04,1,BTL,"49,138.54","4,152.90",32,24
7293858,40,Vat 69 750ml   12x01,04.05.2010,0,15675563/231225,08.05.2010,6024222,36,43.95,1,BTL,"49,138.54","1,582.16",32,36
7293858,50,J&B Rare 750ml 12x01,04.05.2010,0,15675563/231225,08.05.2010,6024222,12,75.33,1,BTL,"49,138.54",903.92,32,12
7293858,60,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,15675563/231225,08.05.2010,6024222,108,77.43,1,BTL,"49,138.54","8,362.06",32,108
7293853,10,JW Black Label 750ml 12x01,04.05.2010,84,1638649/4378,17.05.2010,6025767,84,173.04,1,BTL,"100,271.04","14,535.16",32,84
7293853,20,Buchanan Deluxe 750ml   12x01,04.05.2010,192,1638649/4378,17.05.2010,6025767,192,182.66,1,BTL,"100,271.04","35,071.49",32,192
7293853,30,Vat 69 750ml   12x01,04.05.2010,36,1638649/4378,17.05.2010,6025767,36,43.95,1,BTL,"100,271.04","1,582.16",32,36
7293853,40,J&B Rare 750ml 12x01,04.05.2010,144,1638649/4378,17.05.2010,6025767,144,75.33,1,BTL,"100,271.04","10,847.00",32,144
7293853,50,Buchanan Sr 18y 750ml   06x01,04.05.2010,6,1638649/4378,17.05.2010,6025767,6,376.47,1,BTL,"100,271.04","2,258.80",32,6
7293853,60,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,36,1638649/4378,17.05.2010,6025767,36,77.43,1,BTL,"100,271.04","2,787.35",32,36
7293853,70,Sheridans 750ml   06x01,04.05.2010,6,1638649/4378,17.05.2010,6025767,6,142.72,1,BTL,"100,271.04",856.31,32,6
7293853,80,J Wlkr Blue 750ml   06x01,04.05.2010,6,1638649/4378,17.05.2010,6025767,6,"1,039.82",1,BTL,"100,271.04","6,238.90",32,6
7293853,90,Baileys Flavours Caramel 750ml 12x01,04.05.2010,24,1638649/4378,17.05.2010,6025767,24,77.43,1,BTL,"100,271.04","1,858.24",32,24
7293853,100,ZACAPA CENTENARIO 15 750ML 06x01,04.05.2010,6,1638649/4378,17.05.2010,6025767,6,153.01,1,BTL,"100,271.04",918.04,32,6
7293853,110,ZACAPA CENTENARIO 23 750ML 06x01,04.05.2010,6,1638649/4378,17.05.2010,6025767,6,217.43,1,BTL,"100,271.04","1,304.60",32,6
7293853,120,Guinness Lata DR 440ml 24x01,04.05.2010,216,1638649/4378,17.05.2010,6025767,216,13.68,1,BTL,"100,271.04","2,954.88",31,216
7293853,130,Buchanan Master 750ml 12x01,04.05.2010,72,1638649/4378,17.05.2010,6025767,72,210.7,1,BTL,"100,271.04","15,170.46",32,72
7293853,140,CptMrg OSR  750ml  12x01 relay / Lgut,04.05.2010,84,1638649/4378,17.05.2010,6025767,84,46.28,1,BTL,"100,271.04","3,887.65",32,84
7293844,10,J&B Rare 750ml no IBC 12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,144,101.71,1,BTL,"551,160.43","14,646.47",32,144
7293844,20,Buchanan Sr 18y 750ml   06x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,72,376.47,1,BTL,"551,160.43","27,105.58",32,72
7293844,30,Buchanan Deluxe 750ml   12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,240,182.66,1,BTL,"551,160.43","43,839.36",32,240
7293844,40,J Wlkr Red 750 ml Lata AIG 12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,912,124.54,1,BTL,"551,160.43","113,579.40",32,912
7293844,50,JW Black Label 750ml 12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,300,173.04,1,BTL,"551,160.43","51,911.28",32,300
7293844,60,J Walker Gold 750ml 12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,12,409.53,1,BTL,"551,160.43","4,914.35",32,12
7293844,70,J Wlkr Blue 750ml   06x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,12,"1,039.82",1,BTL,"551,160.43","12,477.80",32,12
7293844,80,Old Parr 750ml 12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,48,153.07,1,BTL,"551,160.43","7,347.46",32,48
7293844,90,Ciroc 750ml 06x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,6,159.1,1,BTL,"551,160.43",954.59,32,6
7293844,100,J Wlkr Green 700ml   06x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,114,245.71,1,BTL,"551,160.43","28,011.44",32,114
7293844,110,JWlkr Red 1L MIDAS  S/IBC 12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,684,162.4,1,BTL,"551,160.43","111,079.06",32,684
7293844,120,Buchanan Deluxe 4.5L 12Y 03x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,15,"1,010.39",1,BTL,"551,160.43","15,155.86",32,15
7293844,130,Buchanan Red Seal 750ml   06x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,12,857.48,1,BTL,"551,160.43","10,289.81",32,12
7293844,140,Buchanan Deluxe 1L 12Y 12x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,408,237.85,1,BTL,"551,160.43","97,043.62",32,408
7293844,150,ZACAPA CENTENARIO 15 750ML 06x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,24,153.01,1,BTL,"551,160.43","3,672.17",32,24
7293844,160,ZACAPA CENTENARIO 23 750ML 06x01,04.05.2010,0,16723814/98701,14.05.2010,6023523,42,217.43,1,BTL,"551,160.43","9,132.18",32,42
7293842,10,Guinness Lata DR 440ml 24x01,04.05.2010,144,16726317/98701,14.05.2010,6023523,144,13.68,1,BTL,"3,687.55","1,969.92",31,144
7293842,20,GUINNESS BTL DR 330ML BTL 01x24,04.05.2010,168,16726317/98701,14.05.2010,6023523,168,10.22,1,BTL,"3,687.55","1,717.63",31,168
7293841,10,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,16726905/98701,14.05.2010,6023523,108,77.43,1,BTL,"22,845.09","8,362.06",32,108
7293841,20,Sheridans 750ml   06x01,04.05.2010,0,16726905/98701,14.05.2010,6023523,48,142.72,1,BTL,"22,845.09","6,850.48",32,48
7293841,30,Baileys Flavours Caramel 750ml 12x01,04.05.2010,0,16726905/98701,14.05.2010,6023523,48,77.43,1,BTL,"22,845.09","3,716.47",32,48
7293841,40,Baileys Flavours Mint Choco 750ml 12x01,04.05.2010,0,16726905/98701,14.05.2010,6023523,36,108.78,1,BTL,"22,845.09","3,916.08",32,36
7293837,10,J Wlkr Red 750 ml Lata AIG 12x01,04.05.2010,0,16729584/98701,14.05.2010,6023523,60,124.54,1,BTL,"9,548.78","7,472.33",32,60
7293837,20,JW Black Label 750ml 12x01,04.05.2010,0,16729584/98701,14.05.2010,6023523,12,173.04,1,BTL,"9,548.78","2,076.45",32,12
7293836,10,J Wlkr Red 750 ml Lata AIG 12x01,04.05.2010,0,1170024896,08.05.2010,6023907,600,128.1,1,BTL,"76,860.00","76,860.00",32,600
7293832,10,BAILEYS ORIGINAL 750ML 12x01,04.05.2010,0,FROZA_BAILEYS,11.05.2010,6027282,60,124.32,1,BTL,"7,459.20","7,459.20",32,60
